ID,ACTIVITY_DATE,TOTAL_STEPS,TOTAL_DISTANCE,MEAN_DAILY_MET,MAX_DAILY_MET,CALORIES,VERY_ACTIVE_DISTANCE,MODERATE_ACTIVE_DISTANCE,LIGHT_ACTIVE_DIST,SEDENTARY_ACTIVE_DIST,VERY_ACTIVE_MINUTES,FAIRLY_ACTIVE_MINUTES,LIGHT_ACTIVE_MINUTES,SEDENTARY_ACTIVE_MINUTES
1503960366,04/12/2016,13162,8.5,17.53,99.00,1985,1.8799999952,0.5500000119,6.0599999428,0,25,13,328,728
1503960366,04/13/2016,10735,6.9699997902,15.87,111.00,1797,1.5700000525,0.6899999976,4.7100000381,0,21,19,217,776
1503960366,04/14/2016,10460,6.7399997711,15.69,97.00,1776,2.4400000572,0.400000006,3.9100000858,0,30,11,181,1218
1503960366,04/15/2016,9762,6.2800002098,15.41,97.00,1745,2.1400001049,1.2599999905,2.8299999237,0,29,34,209,726
1503960366,04/16/2016,12669,8.1599998474,16.45,103.00,1863,2.7100000381,0.4099999964,5.0399999619,0,36,10,221,773
1503960366,04/17/2016,9705,6.4800000191,15.26,95.00,1728,3.1900000572,0.7799999714,2.5099999905,0,38,20,164,539
1503960366,04/18/2016,13019,8.5900001526,16.97,107.00,1921,3.25,0.6399999857,4.7100000381,0,42,16,233,1149
1503960366,04/19/2016,15506,9.8800001144,17.97,109.00,2035,3.5299999714,1.3200000525,5.0300002098,0,50,31,264,775
1503960366,04/20/2016,10544,6.6799998283,15.78,84.00,1786,1.9600000381,0.4799999893,4.2399997711,0,28,12,205,818
1503960366,04/21/2016,9819,6.3400001526,15.68,103.00,1775,1.3400000334,0.349999994,4.6500000954,0,19,8,211,838
1503960366,04/22/2016,12764,8.1300001144,16.14,93.00,1827,4.7600002289,1.1200000048,2.2400000095,0,66,27,130,1217
1503960366,04/23/2016,14371,9.0399999619,17.21,80.00,1949,2.8099999428,0.8700000048,5.3600001335,0,41,21,262,732
1503960366,04/24/2016,10039,6.4099998474,15.80,93.00,1788,2.9200000763,0.2099999934,3.2799999714,0,39,5,238,709
1503960366,04/25/2016,15355,9.8000001907,17.78,95.00,2013,5.2899999619,0.5699999928,3.9400000572,0,73,14,216,814
1503960366,04/26/2016,13755,8.7899999619,17.40,93.00,1970,2.3299999237,0.9200000167,5.5399999619,0,31,23,279,833
1503960366,04/27/2016,18134,12.210000038,19.06,97.00,2159,6.4000000954,0.4099999964,5.4099998474,0,78,11,243,1108
1503960366,04/28/2016,13154,8.529999733,16.76,103.00,1898,3.5399999619,1.1599999666,3.7899999619,0,48,28,189,782
1503960366,04/29/2016,11181,7.1500000954,16.23,99.00,1837,1.0599999428,0.5,5.5799999237,0,16,12,243,815
1503960366,04/30/2016,14673,9.25,17.20,88.00,1947,3.5599999428,1.4199999571,4.2699999809,0,52,34,217,712
1503960366,05/01/2016,10602,6.8099999428,16.17,95.00,1820,2.2899999619,1.6000000238,2.9200000763,0,33,35,246,730
1503960366,05/02/2016,14727,9.7100000381,17.82,105.00,2004,3.2100000381,0.5699999928,5.9200000763,0,41,15,277,798
1503960366,05/03/2016,15103,9.6599998474,17.69,93.00,1990,3.7300000191,1.0499999523,4.8800001144,0,50,24,254,816
1503960366,05/04/2016,11100,7.1500000954,16.17,101.00,1819,2.4600000381,0.8700000048,3.8199999332,0,36,22,203,1179
1503960366,05/05/2016,14070,8.8999996185,17.42,105.00,1959,2.9200000763,1.0800000429,4.8800001144,0,45,24,250,857
1503960366,05/06/2016,12159,8.029999733,16.86,107.00,1896,1.9700000286,0.25,5.8099999428,0,24,6,289,754
1503960366,05/07/2016,11992,7.7100000381,16.19,99.00,1821,2.4600000381,2.1199998856,3.1300001144,0,37,46,175,833
